freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.092e+02,2.691e+01,3.498e+01,3.711e+02
1.6,1.935e+02,5.875e+01,5.655e+01,3.088e+02
3.1,4.156e+01,5.927e+01,4.570e+01,1.465e+02
4.7,3.775e+02,6.113e+01,4.881e+01,4.874e+02
6.2,1.271e+03,5.552e+01,4.819e+01,1.375e+03
7.8,2.068e+03,5.643e+01,4.890e+01,2.173e+03
9.3,3.062e+03,5.767e+01,5.035e+01,3.170e+03
10.9,4.040e+03,6.581e+01,4.584e+01,4.151e+03
12.4,5.148e+03,6.329e+01,4.500e+01,5.256e+03
14.0,6.736e+03,5.685e+01,4.650e+01,6.840e+03
15.5,8.512e+03,5.466e+01,4.593e+01,8.613e+03
17.1,1.034e+04,5.359e+01,4.788e+01,1.044e+04
18.6,1.262e+04,5.465e+01,4.895e+01,1.272e+04
20.2,1.546e+04,5.645e+01,4.838e+01,1.556e+04
21.8,1.879e+04,5.541e+01,6.806e+01,1.891e+04
23.3,2.274e+04,5.458e+01,7.677e+01,2.287e+04
24.9,2.738e+04,5.903e+01,8.488e+01,2.752e+04
26.4,3.265e+04,6.341e+01,9.038e+01,3.281e+04
28.0,3.902e+04,6.614e+01,8.622e+01,3.918e+04
29.5,4.760e+04,6.690e+01,9.090e+01,4.776e+04
31.1,5.918e+04,8.130e+01,1.166e+02,5.938e+04
32.6,7.461e+04,1.109e+02,1.576e+02,7.488e+04
34.2,9.799e+04,1.233e+02,1.633e+02,9.828e+04
35.7,1.320e+05,1.143e+02,1.391e+02,1.322e+05
37.3,1.764e+05,1.583e+02,1.906e+02,1.768e+05
38.8,2.102e+05,2.981e+02,5.098e+02,2.111e+05
40.4,2.113e+05,6.344e+02,1.204e+03,2.132e+05
42.0,1.594e+05,1.075e+03,1.554e+03,1.621e+05
43.5,9.939e+04,1.777e+03,1.093e+03,1.023e+05
45.1,8.245e+04,2.715e+03,7.062e+02,8.587e+04
46.6,8.821e+04,4.916e+03,5.719e+02,9.370e+04
48.2,1.104e+05,8.856e+03,4.602e+02,1.197e+05
49.7,1.418e+05,1.224e+04,4.343e+02,1.545e+05
51.3,1.363e+05,1.150e+04,3.779e+02,1.482e+05
52.8,1.107e+05,9.695e+03,2.736e+02,1.206e+05
