freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.316e+01,4.243e+02,2.287e+01,4.603e+02
1.6,2.448e+01,2.618e+02,3.384e+01,3.201e+02
3.1,2.282e+01,4.740e+01,2.697e+01,9.719e+01
4.7,2.351e+01,3.499e+02,2.809e+01,4.016e+02
6.2,2.409e+01,1.226e+03,2.683e+01,1.277e+03
7.8,2.515e+01,1.953e+03,2.693e+01,2.005e+03
9.3,3.103e+01,2.950e+03,2.795e+01,3.009e+03
10.9,4.433e+01,4.128e+03,3.250e+01,4.204e+03
12.4,3.404e+01,5.577e+03,3.069e+01,5.642e+03
14.0,3.000e+01,7.571e+03,2.571e+01,7.626e+03
15.5,2.854e+01,9.261e+03,2.661e+01,9.316e+03
17.1,2.587e+01,1.206e+04,3.074e+01,1.211e+04
18.6,2.627e+01,1.550e+04,3.530e+01,1.556e+04
20.2,2.285e+01,1.994e+04,4.841e+01,2.001e+04
21.7,2.318e+01,2.548e+04,5.281e+01,2.556e+04
23.3,2.571e+01,3.270e+04,5.620e+01,3.278e+04
24.8,2.618e+01,4.334e+04,9.927e+01,4.346e+04
26.4,2.972e+01,5.776e+04,1.730e+02,5.796e+04
27.9,3.013e+01,7.622e+04,2.921e+02,7.654e+04
29.5,3.776e+01,1.105e+05,5.195e+02,1.110e+05
31.0,7.908e+01,1.671e+05,6.800e+02,1.679e+05
32.6,3.305e+02,2.693e+05,9.229e+02,2.705e+05
34.1,1.459e+03,4.990e+05,1.847e+03,5.023e+05
35.7,5.868e+03,7.410e+05,3.210e+03,7.501e+05
37.2,1.501e+04,7.992e+05,3.544e+03,8.178e+05
38.8,2.009e+04,7.511e+05,3.071e+03,7.743e+05
40.3,1.498e+04,6.744e+05,2.721e+03,6.921e+05
41.9,9.148e+03,6.015e+05,2.697e+03,6.133e+05
43.4,5.520e+03,5.380e+05,2.962e+03,5.465e+05
45.0,3.469e+03,5.028e+05,3.268e+03,5.095e+05
46.5,2.224e+03,5.004e+05,3.582e+03,5.062e+05
48.1,1.287e+03,4.545e+05,3.365e+03,4.591e+05
49.6,7.286e+02,3.572e+05,2.524e+03,3.604e+05
51.2,3.770e+02,2.818e+05,1.538e+03,2.837e+05
52.7,1.456e+02,2.328e+05,9.451e+02,2.339e+05
54.3,1.357e+02,1.861e+05,1.205e+03,1.875e+05
55.8,3.108e+02,1.416e+05,2.079e+03,1.440e+05
57.4,4.402e+02,1.022e+05,2.815e+03,1.055e+05
